NumberOfMoves,NumberOfHits,NumberOfMisses,HitRatio_Percent,GameWon
44,9,35,20.4545454545455,1
53,9,44,16.9811320754717,1
44,9,35,20.4545454545455,1
32,9,23,28.125,1
22,9,13,40.9090909090909,1
54,9,45,16.6666666666667,1
46,9,37,19.5652173913043,1
53,9,44,16.9811320754717,1
44,9,35,20.4545454545455,1
57,9,48,15.7894736842105,1
31,9,22,29.0322580645161,1
36,9,27,25,1
22,9,13,40.9090909090909,1
37,9,28,24.3243243243243,1
46,9,37,19.5652173913043,1
54,9,45,16.6666666666667,1
39,9,30,23.0769230769231,1
48,9,39,18.75,1
34,9,25,26.4705882352941,1
60,9,51,15,1
49,9,40,18.3673469387755,1
44,9,35,20.4545454545455,1
56,9,47,16.0714285714286,1
53,9,44,16.9811320754717,1
42,9,33,21.4285714285714,1
46,9,37,19.5652173913043,1
42,9,33,21.4285714285714,1
49,9,40,18.3673469387755,1
41,9,32,21.9512195121951,1
53,9,44,16.9811320754717,1
36,9,27,25,1
38,9,29,23.6842105263158,1
51,9,42,17.6470588235294,1
60,9,51,15,1
36,9,27,25,1
49,9,40,18.3673469387755,1
59,9,50,15.2542372881356,1
35,9,26,25.7142857142857,1
36,9,27,25,1
55,9,46,16.3636363636364,1
48,9,39,18.75,1
45,9,36,20,1
52,9,43,17.3076923076923,1
61,9,52,14.7540983606557,1
54,9,45,16.6666666666667,1
65,9,56,13.8461538461538,1
42,9,33,21.4285714285714,1
39,9,30,23.0769230769231,1
47,9,38,19.1489361702128,1
39,9,30,23.0769230769231,1
53,9,44,16.9811320754717,1
63,9,54,14.2857142857143,1
52,9,43,17.3076923076923,1
63,9,54,14.2857142857143,1
38,9,29,23.6842105263158,1
36,9,27,25,1
40,9,31,22.5,1
59,9,50,15.2542372881356,1
49,9,40,18.3673469387755,1
41,9,32,21.9512195121951,1
37,9,28,24.3243243243243,1
28,9,19,32.1428571428571,1
55,9,46,16.3636363636364,1
58,9,49,15.5172413793103,1
58,9,49,15.5172413793103,1
28,9,19,32.1428571428571,1
51,9,42,17.6470588235294,1
47,9,38,19.1489361702128,1
51,9,42,17.6470588235294,1
55,9,46,16.3636363636364,1
56,9,47,16.0714285714286,1
40,9,31,22.5,1
52,9,43,17.3076923076923,1
43,9,34,20.9302325581395,1
53,9,44,16.9811320754717,1
55,9,46,16.3636363636364,1
63,9,54,14.2857142857143,1
64,9,55,14.0625,1
51,9,42,17.6470588235294,1
34,9,25,26.4705882352941,1
38,9,29,23.6842105263158,1
53,9,44,16.9811320754717,1
39,9,30,23.0769230769231,1
58,9,49,15.5172413793103,1
50,9,41,18,1
35,9,26,25.7142857142857,1
29,9,20,31.0344827586207,1
50,9,41,18,1
52,9,43,17.3076923076923,1
56,9,47,16.0714285714286,1
30,9,21,30,1
44,9,35,20.4545454545455,1
45,9,36,20,1
40,9,31,22.5,1
41,9,32,21.9512195121951,1
43,9,34,20.9302325581395,1
37,9,28,24.3243243243243,1
37,9,28,24.3243243243243,1
54,9,45,16.6666666666667,1
55,9,46,16.3636363636364,1
61,9,52,14.7540983606557,1
37,9,28,24.3243243243243,1
51,9,42,17.6470588235294,1
54,9,45,16.6666666666667,1
57,9,48,15.7894736842105,1
36,9,27,25,1
46,9,37,19.5652173913043,1
59,9,50,15.2542372881356,1
32,9,23,28.125,1
61,9,52,14.7540983606557,1
47,9,38,19.1489361702128,1
60,9,51,15,1
43,9,34,20.9302325581395,1
50,9,41,18,1
68,9,59,13.2352941176471,1
47,9,38,19.1489361702128,1
68,9,59,13.2352941176471,1
56,9,47,16.0714285714286,1
62,9,53,14.5161290322581,1
59,9,50,15.2542372881356,1
54,9,45,16.6666666666667,1
46,9,37,19.5652173913043,1
65,9,56,13.8461538461538,1
59,9,50,15.2542372881356,1
31,9,22,29.0322580645161,1
71,9,62,12.6760563380282,1
52,9,43,17.3076923076923,1
59,9,50,15.2542372881356,1
55,9,46,16.3636363636364,1
39,9,30,23.0769230769231,1
57,9,48,15.7894736842105,1
55,9,46,16.3636363636364,1
50,9,41,18,1
51,9,42,17.6470588235294,1
57,9,48,15.7894736842105,1
45,9,36,20,1
60,9,51,15,1
52,9,43,17.3076923076923,1
54,9,45,16.6666666666667,1
54,9,45,16.6666666666667,1
54,9,45,16.6666666666667,1
28,9,19,32.1428571428571,1
56,9,47,16.0714285714286,1
18,9,9,50,1
54,9,45,16.6666666666667,1
37,9,28,24.3243243243243,1
41,9,32,21.9512195121951,1
52,9,43,17.3076923076923,1
56,9,47,16.0714285714286,1
55,9,46,16.3636363636364,1
49,9,40,18.3673469387755,1
38,9,29,23.6842105263158,1
54,9,45,16.6666666666667,1
59,9,50,15.2542372881356,1
36,9,27,25,1
52,9,43,17.3076923076923,1
54,9,45,16.6666666666667,1
54,9,45,16.6666666666667,1
40,9,31,22.5,1
40,9,31,22.5,1
59,9,50,15.2542372881356,1
33,9,24,27.2727272727273,1
44,9,35,20.4545454545455,1
27,9,18,33.3333333333333,1
33,9,24,27.2727272727273,1
56,9,47,16.0714285714286,1
33,9,24,27.2727272727273,1
24,9,15,37.5,1
53,9,44,16.9811320754717,1
