AntalTræk,AntalHits,AntalMisses,HitRatio_Procent,SpilVundet
94,9,85,9.57446808510638,1
82,9,73,10.9756097560976,1
92,9,83,9.78260869565217,1
100,9,91,9,1
95,9,86,9.47368421052632,1
92,9,83,9.78260869565217,1
100,9,91,9,1
96,9,87,9.375,1
96,9,87,9.375,1
98,9,89,9.18367346938776,1
83,9,74,10.8433734939759,1
87,9,78,10.3448275862069,1
91,9,82,9.89010989010989,1
96,9,87,9.375,1
98,9,89,9.18367346938776,1
96,9,87,9.375,1
85,9,76,10.5882352941176,1
80,9,71,11.25,1
99,9,90,9.09090909090909,1
96,9,87,9.375,1
95,9,86,9.47368421052632,1
77,9,68,11.6883116883117,1
96,9,87,9.375,1
100,9,91,9,1
97,9,88,9.27835051546392,1
95,9,86,9.47368421052632,1
96,9,87,9.375,1
80,9,71,11.25,1
97,9,88,9.27835051546392,1
86,9,77,10.4651162790698,1
81,9,72,11.1111111111111,1
99,9,90,9.09090909090909,1
83,9,74,10.8433734939759,1
99,9,90,9.09090909090909,1
80,9,71,11.25,1
91,9,82,9.89010989010989,1
93,9,84,9.67741935483871,1
87,9,78,10.3448275862069,1
100,9,91,9,1
94,9,85,9.57446808510638,1
99,9,90,9.09090909090909,1
100,9,91,9,1
93,9,84,9.67741935483871,1
96,9,87,9.375,1
96,9,87,9.375,1
97,9,88,9.27835051546392,1
96,9,87,9.375,1
99,9,90,9.09090909090909,1
100,9,91,9,1
92,9,83,9.78260869565217,1
82,9,73,10.9756097560976,1
89,9,80,10.1123595505618,1
92,9,83,9.78260869565217,1
96,9,87,9.375,1
90,9,81,10,1
87,9,78,10.3448275862069,1
88,9,79,10.2272727272727,1
93,9,84,9.67741935483871,1
99,9,90,9.09090909090909,1
83,9,74,10.8433734939759,1
99,9,90,9.09090909090909,1
99,9,90,9.09090909090909,1
100,9,91,9,1
97,9,88,9.27835051546392,1
77,9,68,11.6883116883117,1
93,9,84,9.67741935483871,1
83,9,74,10.8433734939759,1
98,9,89,9.18367346938776,1
86,9,77,10.4651162790698,1
92,9,83,9.78260869565217,1
90,9,81,10,1
88,9,79,10.2272727272727,1
87,9,78,10.3448275862069,1
91,9,82,9.89010989010989,1
93,9,84,9.67741935483871,1
98,9,89,9.18367346938776,1
93,9,84,9.67741935483871,1
59,9,50,15.2542372881356,1
85,9,76,10.5882352941176,1
99,9,90,9.09090909090909,1
92,9,83,9.78260869565217,1
85,9,76,10.5882352941176,1
81,9,72,11.1111111111111,1
90,9,81,10,1
98,9,89,9.18367346938776,1
100,9,91,9,1
98,9,89,9.18367346938776,1
80,9,71,11.25,1
95,9,86,9.47368421052632,1
84,9,75,10.7142857142857,1
89,9,80,10.1123595505618,1
100,9,91,9,1
97,9,88,9.27835051546392,1
98,9,89,9.18367346938776,1
100,9,91,9,1
86,9,77,10.4651162790698,1
75,9,66,12,1
90,9,81,10,1
89,9,80,10.1123595505618,1
91,9,82,9.89010989010989,1
96,9,87,9.375,1
96,9,87,9.375,1
82,9,73,10.9756097560976,1
94,9,85,9.57446808510638,1
95,9,86,9.47368421052632,1
97,9,88,9.27835051546392,1
92,9,83,9.78260869565217,1
97,9,88,9.27835051546392,1
88,9,79,10.2272727272727,1
99,9,90,9.09090909090909,1
