NumberOfMoves,NumberOfHits,NumberOfMisses,HitRatio_Percent,GameWon
94,9,85,9.57446808510638,1
52,9,43,17.3076923076923,1
63,9,54,14.2857142857143,1
64,9,55,14.0625,1
40,9,31,22.5,1
30,9,21,30,1
53,9,44,16.9811320754717,1
27,9,18,33.3333333333333,1
35,9,26,25.7142857142857,1
58,9,49,15.5172413793103,1
41,9,32,21.9512195121951,1
72,9,63,12.5,1
36,9,27,25,1
48,9,39,18.75,1
30,9,21,30,1
29,9,20,31.0344827586207,1
86,9,77,10.4651162790698,1
44,9,35,20.4545454545455,1
38,9,29,23.6842105263158,1
43,9,34,20.9302325581395,1
82,9,73,10.9756097560976,1
46,9,37,19.5652173913043,1
40,9,31,22.5,1
30,9,21,30,1
56,9,47,16.0714285714286,1
50,9,41,18,1
34,9,25,26.4705882352941,1
39,9,30,23.0769230769231,1
42,9,33,21.4285714285714,1
55,9,46,16.3636363636364,1
53,9,44,16.9811320754717,1
45,9,36,20,1
82,9,73,10.9756097560976,1
67,9,58,13.4328358208955,1
32,9,23,28.125,1
39,9,30,23.0769230769231,1
70,9,61,12.8571428571429,1
43,9,34,20.9302325581395,1
81,9,72,11.1111111111111,1
70,9,61,12.8571428571429,1
74,9,65,12.1621621621622,1
26,9,17,34.6153846153846,1
38,9,29,23.6842105263158,1
39,9,30,23.0769230769231,1
67,9,58,13.4328358208955,1
58,9,49,15.5172413793103,1
56,9,47,16.0714285714286,1
37,9,28,24.3243243243243,1
57,9,48,15.7894736842105,1
68,9,59,13.2352941176471,1
49,9,40,18.3673469387755,1
33,9,24,27.2727272727273,1
77,9,68,11.6883116883117,1
35,9,26,25.7142857142857,1
44,9,35,20.4545454545455,1
91,9,82,9.89010989010989,1
77,9,68,11.6883116883117,1
31,9,22,29.0322580645161,1
38,9,29,23.6842105263158,1
88,9,79,10.2272727272727,1
68,9,59,13.2352941176471,1
57,9,48,15.7894736842105,1
27,9,18,33.3333333333333,1
84,9,75,10.7142857142857,1
42,9,33,21.4285714285714,1
46,9,37,19.5652173913043,1
64,9,55,14.0625,1
55,9,46,16.3636363636364,1
37,9,28,24.3243243243243,1
52,9,43,17.3076923076923,1
50,9,41,18,1
43,9,34,20.9302325581395,1
54,9,45,16.6666666666667,1
35,9,26,25.7142857142857,1
41,9,32,21.9512195121951,1
57,9,48,15.7894736842105,1
52,9,43,17.3076923076923,1
42,9,33,21.4285714285714,1
44,9,35,20.4545454545455,1
32,9,23,28.125,1
41,9,32,21.9512195121951,1
60,9,51,15,1
18,9,9,50,1
76,9,67,11.8421052631579,1
73,9,64,12.3287671232877,1
54,9,45,16.6666666666667,1
33,9,24,27.2727272727273,1
62,9,53,14.5161290322581,1
63,9,54,14.2857142857143,1
75,9,66,12,1
32,9,23,28.125,1
51,9,42,17.6470588235294,1
67,9,58,13.4328358208955,1
59,9,50,15.2542372881356,1
56,9,47,16.0714285714286,1
73,9,64,12.3287671232877,1
82,9,73,10.9756097560976,1
77,9,68,11.6883116883117,1
55,9,46,16.3636363636364,1
71,9,62,12.6760563380282,1
71,9,62,12.6760563380282,1
54,9,45,16.6666666666667,1
60,9,51,15,1
36,9,27,25,1
27,9,18,33.3333333333333,1
73,9,64,12.3287671232877,1
64,9,55,14.0625,1
78,9,69,11.5384615384615,1
83,9,74,10.8433734939759,1
70,9,61,12.8571428571429,1
54,9,45,16.6666666666667,1
60,9,51,15,1
66,9,57,13.6363636363636,1
59,9,50,15.2542372881356,1
49,9,40,18.3673469387755,1
97,9,88,9.27835051546392,1
45,9,36,20,1
28,9,19,32.1428571428571,1
27,9,18,33.3333333333333,1
31,9,22,29.0322580645161,1
70,9,61,12.8571428571429,1
80,9,71,11.25,1
35,9,26,25.7142857142857,1
58,9,49,15.5172413793103,1
68,9,59,13.2352941176471,1
22,9,13,40.9090909090909,1
74,9,65,12.1621621621622,1
90,9,81,10,1
83,9,74,10.8433734939759,1
91,9,82,9.89010989010989,1
48,9,39,18.75,1
67,9,58,13.4328358208955,1
59,9,50,15.2542372881356,1
66,9,57,13.6363636363636,1
56,9,47,16.0714285714286,1
74,9,65,12.1621621621622,1
49,9,40,18.3673469387755,1
47,9,38,19.1489361702128,1
56,9,47,16.0714285714286,1
56,9,47,16.0714285714286,1
60,9,51,15,1
31,9,22,29.0322580645161,1
58,9,49,15.5172413793103,1
39,9,30,23.0769230769231,1
53,9,44,16.9811320754717,1
62,9,53,14.5161290322581,1
89,9,80,10.1123595505618,1
54,9,45,16.6666666666667,1
61,9,52,14.7540983606557,1
60,9,51,15,1
65,9,56,13.8461538461538,1
76,9,67,11.8421052631579,1
66,9,57,13.6363636363636,1
64,9,55,14.0625,1
64,9,55,14.0625,1
53,9,44,16.9811320754717,1
68,9,59,13.2352941176471,1
47,9,38,19.1489361702128,1
55,9,46,16.3636363636364,1
34,9,25,26.4705882352941,1
67,9,58,13.4328358208955,1
40,9,31,22.5,1
74,9,65,12.1621621621622,1
62,9,53,14.5161290322581,1
47,9,38,19.1489361702128,1
67,9,58,13.4328358208955,1
40,9,31,22.5,1
65,9,56,13.8461538461538,1
26,9,17,34.6153846153846,1
39,9,30,23.0769230769231,1
40,9,31,22.5,1
24,9,15,37.5,1
67,9,58,13.4328358208955,1
29,9,20,31.0344827586207,1
48,9,39,18.75,1
42,9,33,21.4285714285714,1
76,9,67,11.8421052631579,1
42,9,33,21.4285714285714,1
76,9,67,11.8421052631579,1
67,9,58,13.4328358208955,1
71,9,62,12.6760563380282,1
41,9,32,21.9512195121951,1
59,9,50,15.2542372881356,1
29,9,20,31.0344827586207,1
41,9,32,21.9512195121951,1
