AntalTræk,AntalHits,AntalMisses,HitRatio_Procent,SpilVundet
64,9,55,14.0625,1
23,9,14,39.1304347826087,1
39,9,30,23.0769230769231,1
57,9,48,15.7894736842105,1
54,9,45,16.6666666666667,1
42,9,33,21.4285714285714,1
48,9,39,18.75,1
57,9,48,15.7894736842105,1
41,9,32,21.9512195121951,1
50,9,41,18,1
57,9,48,15.7894736842105,1
52,9,43,17.3076923076923,1
53,9,44,16.9811320754717,1
56,9,47,16.0714285714286,1
34,9,25,26.4705882352941,1
61,9,52,14.7540983606557,1
57,9,48,15.7894736842105,1
55,9,46,16.3636363636364,1
63,9,54,14.2857142857143,1
32,9,23,28.125,1
55,9,46,16.3636363636364,1
56,9,47,16.0714285714286,1
37,9,28,24.3243243243243,1
53,9,44,16.9811320754717,1
47,9,38,19.1489361702128,1
53,9,44,16.9811320754717,1
45,9,36,20,1
37,9,28,24.3243243243243,1
51,9,42,17.6470588235294,1
35,9,26,25.7142857142857,1
52,9,43,17.3076923076923,1
45,9,36,20,1
46,9,37,19.5652173913043,1
54,9,45,16.6666666666667,1
50,9,41,18,1
32,9,23,28.125,1
57,9,48,15.7894736842105,1
48,9,39,18.75,1
45,9,36,20,1
26,9,17,34.6153846153846,1
62,9,53,14.5161290322581,1
40,9,31,22.5,1
62,9,53,14.5161290322581,1
67,9,58,13.4328358208955,1
42,9,33,21.4285714285714,1
49,9,40,18.3673469387755,1
43,9,34,20.9302325581395,1
62,9,53,14.5161290322581,1
57,9,48,15.7894736842105,1
58,9,49,15.5172413793103,1
35,9,26,25.7142857142857,1
66,9,57,13.6363636363636,1
43,9,34,20.9302325581395,1
35,9,26,25.7142857142857,1
49,9,40,18.3673469387755,1
55,9,46,16.3636363636364,1
48,9,39,18.75,1
52,9,43,17.3076923076923,1
40,9,31,22.5,1
30,9,21,30,1
61,9,52,14.7540983606557,1
58,9,49,15.5172413793103,1
40,9,31,22.5,1
58,9,49,15.5172413793103,1
59,9,50,15.2542372881356,1
54,9,45,16.6666666666667,1
40,9,31,22.5,1
29,9,20,31.0344827586207,1
60,9,51,15,1
30,9,21,30,1
51,9,42,17.6470588235294,1
52,9,43,17.3076923076923,1
25,9,16,36,1
36,9,27,25,1
49,9,40,18.3673469387755,1
50,9,41,18,1
36,9,27,25,1
48,9,39,18.75,1
65,9,56,13.8461538461538,1
48,9,39,18.75,1
56,9,47,16.0714285714286,1
41,9,32,21.9512195121951,1
58,9,49,15.5172413793103,1
65,9,56,13.8461538461538,1
48,9,39,18.75,1
57,9,48,15.7894736842105,1
51,9,42,17.6470588235294,1
54,9,45,16.6666666666667,1
47,9,38,19.1489361702128,1
45,9,36,20,1
61,9,52,14.7540983606557,1
48,9,39,18.75,1
48,9,39,18.75,1
47,9,38,19.1489361702128,1
42,9,33,21.4285714285714,1
22,9,13,40.9090909090909,1
52,9,43,17.3076923076923,1
45,9,36,20,1
50,9,41,18,1
50,9,41,18,1
51,9,42,17.6470588235294,1
44,9,35,20.4545454545455,1
58,9,49,15.5172413793103,1
33,9,24,27.2727272727273,1
63,9,54,14.2857142857143,1
35,9,26,25.7142857142857,1
46,9,37,19.5652173913043,1
29,9,20,31.0344827586207,1
65,9,56,13.8461538461538,1
53,9,44,16.9811320754717,1
52,9,43,17.3076923076923,1
53,9,44,16.9811320754717,1
59,9,50,15.2542372881356,1
28,9,19,32.1428571428571,1
55,9,46,16.3636363636364,1
61,9,52,14.7540983606557,1
69,9,60,13.0434782608696,1
54,9,45,16.6666666666667,1
28,9,19,32.1428571428571,1
61,9,52,14.7540983606557,1
42,9,33,21.4285714285714,1
56,9,47,16.0714285714286,1
41,9,32,21.9512195121951,1
57,9,48,15.7894736842105,1
23,9,14,39.1304347826087,1
45,9,36,20,1
60,9,51,15,1
49,9,40,18.3673469387755,1
38,9,29,23.6842105263158,1
28,9,19,32.1428571428571,1
53,9,44,16.9811320754717,1
57,9,48,15.7894736842105,1
44,9,35,20.4545454545455,1
43,9,34,20.9302325581395,1
47,9,38,19.1489361702128,1
59,9,50,15.2542372881356,1
44,9,35,20.4545454545455,1
43,9,34,20.9302325581395,1
59,9,50,15.2542372881356,1
48,9,39,18.75,1
54,9,45,16.6666666666667,1
48,9,39,18.75,1
57,9,48,15.7894736842105,1
59,9,50,15.2542372881356,1
54,9,45,16.6666666666667,1
45,9,36,20,1
59,9,50,15.2542372881356,1
64,9,55,14.0625,1
44,9,35,20.4545454545455,1
27,9,18,33.3333333333333,1
59,9,50,15.2542372881356,1
56,9,47,16.0714285714286,1
53,9,44,16.9811320754717,1
33,9,24,27.2727272727273,1
34,9,25,26.4705882352941,1
51,9,42,17.6470588235294,1
64,9,55,14.0625,1
35,9,26,25.7142857142857,1
61,9,52,14.7540983606557,1
51,9,42,17.6470588235294,1
49,9,40,18.3673469387755,1
58,9,49,15.5172413793103,1
61,9,52,14.7540983606557,1
63,9,54,14.2857142857143,1
40,9,31,22.5,1
48,9,39,18.75,1
48,9,39,18.75,1
33,9,24,27.2727272727273,1
30,9,21,30,1
56,9,47,16.0714285714286,1
56,9,47,16.0714285714286,1
44,9,35,20.4545454545455,1
28,9,19,32.1428571428571,1
45,9,36,20,1
31,9,22,29.0322580645161,1
32,9,23,28.125,1
52,9,43,17.3076923076923,1
56,9,47,16.0714285714286,1
32,9,23,28.125,1
39,9,30,23.0769230769231,1
28,9,19,32.1428571428571,1
61,9,52,14.7540983606557,1
49,9,40,18.3673469387755,1
65,9,56,13.8461538461538,1
47,9,38,19.1489361702128,1
58,9,49,15.5172413793103,1
41,9,32,21.9512195121951,1
40,9,31,22.5,1
65,9,56,13.8461538461538,1
42,9,33,21.4285714285714,1
45,9,36,20,1
41,9,32,21.9512195121951,1
59,9,50,15.2542372881356,1
58,9,49,15.5172413793103,1
59,9,50,15.2542372881356,1
30,9,21,30,1
46,9,37,19.5652173913043,1
